,description,full_name,id,language,name,open_issues_count,size,stargazers_count,test_coverage
90,"Redisson - Redis Java client with features of In-Memory Data Grid. Supports over 30 objects and services: Set, Multimap, SortedSet, Map, List, Queue, Deque, Semaphore, Lock, AtomicLong, Map Reduce, Publish / Subscribe, Bloom filter, Spring Cache, Tomcat, Scheduler, JCache API, Hibernate, RPC.",redisson/redisson,15823460,Java,redisson,168,12439,9456,
91,PocketHub Android App,pockethub/PocketHub,2349728,Java,PocketHub,113,11722,9424,
92,Android library to observe scroll events on scrollable views.,ksoichiro/Android-ObservableScrollView,26363421,Java,Android-ObservableScrollView,178,13780,9373,
93,GraalVM: Run Programs Faster Anywhere :rocket:,oracle/graal,49662222,Java,graal,380,666047,9370,
94,Free universal database tool and SQL client,dbeaver/dbeaver,44662669,Java,dbeaver,1188,252371,9306,
95,Android开发人员不得不收集的工具类集合 | 支付宝支付 | 微信支付（统一下单） | 微信分享 | Zip4j压缩（支持分卷压缩与加密） | 一键集成UCrop选择圆形头像 | 一键集成二维码和条形码的扫描与生成 | 常用Dialog | WebView的封装可播放视频 | 仿斗鱼滑动验证码 | Toast封装 | 震动 | GPS | Location定位 | 图片缩放 | Exif 图片添加地理位置信息（经纬度） | 蛛网等级 | 颜色选择器 | ArcGis | VTPK | 编译运行一下说不定会找到惊喜,vondear/RxTool,69093112,Java,RxTool,107,102344,9305,
96,open-source electronics prototyping platform,arduino/Arduino,919161,Java,Arduino,1127,1367640,9282,
97,OkGo - 3.0 震撼来袭，该库是基于 Http 协议，封装了 OkHttp 的网络请求框架，比 Retrofit 更简单易用，支持 RxJava，RxJava2，支持自定义缓存，支持批量断点下载管理和批量上传管理功能,jeasonlzy/okhttp-OkGo,49712843,Java,okhttp-OkGo,373,84860,9258,
98,An Android Animation library which easily add itemanimator to RecyclerView items.,wasabeef/recyclerview-animators,28340997,Java,recyclerview-animators,99,67549,9249,
99,Android VideoPlayer MediaPlayer VideoView MediaView Float View And Fullscreen.高度自定义的开源安卓视频框架,lipangit/JiaoZiVideoPlayer,51199322,Java,JiaoZiVideoPlayer,163,143879,9206,
100,The official home of the Presto distributed SQL query engine for big data,prestodb/presto,5349565,Java,presto,991,113861,9204,
101,Apache Hadoop,apache/hadoop,23418517,Java,hadoop,288,473681,9159,
102,Simple annotation-based API to handle runtime permissions.,permissions-dispatcher/PermissionsDispatcher,40786751,Java,PermissionsDispatcher,6,2833,9052,
103,Apache Flink,apache/flink,20587599,Java,flink,492,244201,9051,
104,"Distributed and fault-tolerant realtime computation: stream processing, continuous computation, distributed RPC, and more",nathanmarz/storm,2404027,Java,storm,44,27015,9050,
105,This is a library with components of Android L to you use in android 2.2,navasmdc/MaterialDesignLibrary,24628923,Java,MaterialDesignLibrary,265,8930,9041,
106,"APM, Application Performance Monitoring System",apache/skywalking,45721011,Java,skywalking,97,144026,9038,
107,Most popular Mocking framework for unit tests written in Java,mockito/mockito,6207167,Java,mockito,235,45222,8942,86.53493
108,阿里巴巴mysql数据库binlog的增量订阅&消费组件 。阿里云DRDS( https://www.aliyun.com/product/drds )、阿里巴巴TDDL 二级索引、小表复制powerd by canal. Aliyun Data Lake Analytics https://www.aliyun.com/product/datalakeanalytics powered by canal,alibaba/canal,7587038,Java,canal,190,5747,8935,5.33333
109,"APM, (Application Performance Management) tool for large-scale distributed systems written in Java. ",naver/pinpoint,25459400,Java,pinpoint,122,220217,8818,40.61914
110,DEPRECATED,chrisbanes/Android-PullToRefresh,2874001,Java,Android-PullToRefresh,30,4286,8790,
111,Image Cropping Library for Android,Yalantis/uCrop,49068243,Java,uCrop,80,62308,8779,
112,"简称 ""DoKit"" 。一款功能齐全的客户端（ iOS 、Android ）研发助手，你值得拥有。",didi/DoraemonKit,144705602,Java,DoraemonKit,22,19446,8723,
113,An Android TabLayout Lib,H07000223/FlycoTabLayout,45808756,Java,FlycoTabLayout,276,2603,8700,
